"filename" "beta1" "beta3" "lambda1" "lambda3" "diffBeta1" "diffBeta3" "pi1" "pi2" "pi3" "init_beta1" "init_beta2" "init_beta3" "init_pi1" "init_pi2" "init_pi3" "tempering" "Qlike" "Q1" "Q2" "Q3"
"SerumReversal" 0.565015727817056 41.2954183242537 0.0430965012766007 1.19667525553887e-106 1.43362285598414e-07 -3.41066663054335e-05 0.893457792010054 9.12703298488348e-10 0.106542207077243 0.5 1 50 0.333333333333333 0.333333333333333 0.333333333333333 1 -564.650276667302 -496.411240349226 -4.11097110640652e-07 -18.0338286944799
"SerumReversal" 0.565015814542886 41.2945541605296 0.0430965468338525 1.20278017778223e-106 1.39644328100985e-07 -3.25401874619047e-05 0.893456886343396 9.73116368341598e-10 0.106543112683488 0.2 1 5 0.333333333333333 0.333333333333333 0.333333333333333 1 -564.650403974816 -496.410880181515 -4.38308402671297e-07 -18.0340309363564
"SerumReversal" 0.565015671762383 41.2959764067797 0.0430964718670737 1.19274913428958e-106 1.58955401730054e-07 -3.51182649005466e-05 0.893458376850264 9.2151979149048e-10 0.106541622228216 0.5 1 5 0.333333333333333 0.333333333333333 0.333333333333333 1 -564.650194596802 -496.411472926048 -4.15068076889878e-07 -18.0336980863117
"SerumReversal" 0.565016023323079 41.2924737123128 0.0430966565067113 1.2176056445653e-106 1.38216364575783e-07 -2.87685958575423e-05 0.893454706165216 9.63159864854751e-10 0.106545292871624 0.8 1 5 0.333333333333333 0.333333333333333 0.333333333333333 1 -564.650709995635 -496.410013175754 -4.33824337395124e-07 -18.0345178327587
"SerumReversal" 0.56501602219915 41.2924849087911 0.043096655916579 1.21752537035742e-106 1.38312714170752e-07 -2.87888949692672e-05 0.893454717897644 9.63832345416781e-10 0.106545281138524 0.5 1 2 0.25 0.5 0.25 1 -564.650708350571 -496.410017841414 -4.34127231826241e-07 -18.034515212385
"SerumReversal" 0.565015681915991 41.2958752607421 0.0430964771984218 1.1934597416658e-106 1.58130660565803e-07 -3.49349271573374e-05 0.893458270856862 9.16738249676834e-10 0.1065417282264 0.5 1 25 0.25 0.5 0.25 1 -564.650209461546 -496.411430775297 -4.1291441356898e-07 -18.0337217576492
"SerumReversal" 0.565015731802893 41.2953786179681 0.0430965033695008 1.19695508195668e-106 1.43061640756059e-07 -3.40346921774426e-05 0.893457750401166 9.10788538437043e-10 0.106542248688045 0.5 1 50 0.25 0.5 0.25 1 -564.650282502561 -496.411223802485 -4.10234679408806e-07 -18.0338379870202
"SerumReversal" 0.565015680339472 41.2958909653874 0.0430964763706396 1.19334938000925e-106 1.58258842475334e-07 -3.49633935350369e-05 0.893458287314134 9.17481162538602e-10 0.106541711768385 0.2 1 5 0.25 0.5 0.25 1 -564.650207153542 -496.411437319916 -4.13249030379488e-07 -18.0337180822699
"SerumReversal" 0.565015510404218 41.2975842317142 0.0430963871062599 1.18150991756637e-106 1.59540945787739e-07 -3.80324606830129e-05 0.893460061820918 9.24918146083672e-10 0.106539937254163 0.5 1 5 0.25 0.5 0.25 1 -564.649958086069 -496.412142999894 -4.16598370466164e-07 -18.0333218063719
"SerumReversal" 0.56501602644168 41.2924426451285 0.0430966581441664 1.21782841139375e-106 1.37947381517733e-07 -2.87122712627763e-05 0.893454673610936 9.6128564712897e-10 0.106545325427778 0.8 1 5 0.25 0.5 0.25 1 -564.650714560215 -496.41000022982 -4.32980164075411e-07 -18.0345251035843
"SerumReversal" 0.56501638009814 41.2889216588742 0.0430968436773267 1.24334147103924e-106 2.63187871496484e-08 -2.23280338431664e-05 0.893450983996066 9.5017533862009e-10 0.106549015053758 0.5 1 2 0.0833333333333333 0.833333333333333 0.0833333333333333 1 -564.6512324946 -496.408532956004 -4.27976744385193e-07 -18.0353491411514
"SerumReversal" 0.565015685247039 41.2958420781808 0.0430964789474543 1.19369295989597e-106 1.57860199578863e-07 -3.48747800522631e-05 0.893458236084074 9.15170527663652e-10 0.106541763000756 0.5 1 25 0.0833333333333333 0.833333333333333 0.0833333333333333 1 -564.650214338164 -496.411416947086 -4.1220829287287e-07 -18.0337295234093
"SerumReversal" 0.565015815628953 41.2945433412723 0.0430965474041219 1.20285680796831e-106 1.39560427214747e-07 -3.25205747628843e-05 0.893456875005893 9.72532013003364e-10 0.106543124021576 0.5 1 50 0.0833333333333333 0.833333333333333 0.0833333333333333 1 -564.650405564642 -496.410875672899 -4.38045201652276e-07 -18.0340334684199
"SerumReversal" 0.565015670182733 41.2959921425897 0.0430964710376479 1.19263861947909e-106 1.59083469952748e-07 -3.51467876029687e-05 0.893458393340216 9.22262655250941e-10 0.106541605737521 0.2 1 5 0.0833333333333333 0.833333333333333 0.0833333333333333 1 -564.650192284214 -496.411479483663 -4.15402671538264e-07 -18.0336944036408
"SerumReversal" 0.565015667974647 41.2960141385903 0.0430964698782512 1.19248415562809e-106 1.59263038312929e-07 -3.518665744906e-05 0.893458416390382 9.2330408849194e-10 0.106541582686314 0.5 1 5 0.0833333333333333 0.833333333333333 0.0833333333333333 1 -564.650189051617 -496.411488650099 -4.15871745426988e-07 -18.0336892558905
"SerumReversal" 0.565016059376239 41.2921176621121 0.0430966752025953 1.22016114198746e-106 3.18893853545887e-08 -2.81230607228622e-05 0.893454333090792 9.55882144242831e-10 0.106545665953326 0.8 1 5 0.0833333333333333 0.833333333333333 0.0833333333333333 1 -564.650762348028 -496.409864812978 -4.30546410182782e-07 -18.0346011551319
